pid,age,survey_year
120108103,33,2010
120108103,35,2012
120108103,37,2014
120109101,36,2022
120110103,34,2016
120110103,37,2020
120110104,34,2020
120110104,36,2022
120111102,37,2022
120977551,35,2016
121072551,34,2022
121265551,36,2022
122376551,34,2020
122376551,36,2022
123758551,33,2020
124079501,33,2020
124079501,35,2022
125984553,33,2022
126105701,34,2022
127185501,35,2020
127185501,37,2022
127580551,35,2020
127580551,37,2022
127689501,33,2022
128083501,33,2020
128367502,35,2022
128750501,34,2022
128792501,33,2020
130001103,34,2014
130001103,36,2016
130004101,36,2010
130004102,37,2010
130005103,34,2012
130005103,36,2014
130006103,33,2012
130006103,35,2014
130006104,34,2012
130006104,36,2014
130007103,36,2020
130007104,34,2020
130007104,36,2022
130008103,33,2020
130008103,35,2022
130012103,33,2022
130012104,33,2022
130013103,35,2020
130013103,37,2022
130013104,35,2020
130013104,37,2022
130016103,35,2020
130016103,37,2022
130016104,34,2022
130017104,34,2022
130022101,34,2010
130022101,36,2012
130022105,33,2012
130022105,35,2014
130022105,37,2016
130024431,35,2012
130027103,36,2022
130027104,33,2020
130027104,35,2022
130029103,34,2012
130029103,36,2014
130029104,33,2012
130029104,35,2014
130029104,37,2016
130030502,33,2022
130032101,34,2012
130032101,36,2014
130032104,34,2010
130032104,36,2012
130034101,33,2010
130034101,35,2012
130034101,37,2014
130034104,35,2010
130034104,37,2012
130035103,34,2014
130035103,36,2016
130036103,33,2016
130036103,36,2020
130036104,33,2020
130036104,35,2022
130036106,34,2020
130036106,36,2022
130036107,35,2020
130036107,37,2022
130037105,34,2022
130042101,34,2016
130042104,33,2014
130042104,35,2016
130042106,34,2022
130045101,34,2010
130045101,36,2012
130045102,34,2012
130045102,36,2014
130046103,33,2014
130046103,35,2016
130046105,34,2012
130046105,36,2014
130051101,36,2010
130051102,37,2014
130052103,34,2012
130052103,36,2014
130054103,34,2010
130054103,36,2012
130054105,34,2016
130055101,34,2010
130055101,36,2012
130056104,33,2020
130056104,35,2022
130057103,34,2012
130057103,36,2014
130057104,35,2010
130057104,37,2012
130059101,37,2010
130059102,35,2010
130059102,37,2012
130060101,37,2010
130060102,37,2010
130062101,37,2010
130062102,35,2010
130062102,37,2012
130063431,36,2012
130065103,33,2016
130065103,37,2020
130065104,36,2020
130066104,33,2022
130067103,34,2022
130069431,33,2012
130069431,35,2014
130069431,37,2016
130070103,35,2020
130070103,37,2022
130070431,34,2022
130072101,34,2016
130072102,34,2014
130072102,36,2016
130073101,33,2016
130073101,37,2020
130073102,33,2014
130073102,35,2016
130074104,33,2014
130074104,35,2016
130075104,33,2020
130076103,35,2020
130076104,34,2020
130076105,33,2022
130077103,34,2020
130077103,36,2022
130077431,34,2022
130079101,33,2016
130079101,37,2020
130079102,36,2010
130080102,34,2016
130082102,34,2012
130082102,36,2014
130085103,36,2012
130085104,33,2012
130085104,35,2014
130085104,37,2016
130086101,37,2010
130087101,37,2010
130089102,34,2010
130089102,36,2012
130093103,34,2022
130093104,33,2022
130093431,34,2022
130095103,34,2022
130095551,37,2022
130096103,33,2022
130098101,33,2014
130098101,36,2016
130098102,37,2020
130099101,35,2010
130099101,37,2012
130099104,34,2010
130099104,36,2012
130101101,34,2022
130101102,34,2020
130102102,36,2012
130103101,34,2014
130103101,36,2016
130103104,33,2014
130103104,35,2016
130104103,33,2012
130104103,35,2014
130104103,37,2016
130104104,35,2012
130104104,37,2014
130109101,37,2010
130114103,34,2014
130114103,36,2016
130126102,33,2014
130131102,37,2010
130133101,34,2012
130133101,36,2014
130133102,33,2016
130134101,34,2022
130134102,34,2020
130134102,36,2022
130140101,33,2012
130140101,35,2014
130140101,37,2016
130140102,33,2012
130140102,35,2014
130140102,37,2016
130143101,37,2010
130143102,34,2012
130146103,35,2014
130146104,37,2014
130147101,36,2010
130149102,33,2020
130149102,35,2022
130149431,34,2020
130149431,36,2022
130151101,34,2010
130151102,36,2014
130152103,35,2022
130154103,37,2012
130154104,35,2010
130154104,37,2012
130155103,33,2020
130155103,35,2022
130155104,33,2022
130158102,34,2022
130158551,34,2022
130161103,34,2016
130161104,33,2014
130161104,35,2016
130161105,33,2020
130164102,33,2020
130164102,35,2022
130164104,35,2022
130165101,35,2010
130165101,37,2012
130166105,33,2022
130166106,34,2020
130166106,36,2022
130166551,33,2020
130166551,35,2022
130167103,33,2012
130167103,35,2014
130167104,35,2020
130167104,37,2022
130167105,34,2022
130167501,34,2022
130169431,33,2012
130169431,35,2014
130172101,33,2012
130172101,37,2016
130172102,33,2012
130172102,37,2016
130173105,33,2010
130173105,35,2012
130173105,37,2014
130175102,35,2020
130175102,37,2022
130175103,34,2022
130175105,33,2022
130175551,33,2022
130178101,37,2010
130178102,37,2010
130182101,37,2010
130183101,33,2010
130184101,37,2010
130185102,35,2010
130189101,36,2010
130190103,33,2016
130190106,34,2016
130192101,34,2010
130192101,36,2012
130193103,34,2020
130193103,36,2022
130195431,37,2012
130199103,35,2010
130199103,37,2012
130199104,35,2010
130204102,33,2012
130204102,35,2014
130204102,37,2016
130204105,33,2014
130204105,35,2016
130206102,33,2016
130206103,33,2022
130207102,34,2012
130207102,36,2014
130207103,33,2014
130207103,35,2016
130207107,34,2014
130207107,36,2016
130208103,36,2010
130208109,37,2010
130209102,35,2022
130210103,34,2022
130211103,34,2010
130211103,36,2012
130211109,35,2012
130211109,37,2014
130213103,35,2020
130213103,37,2022
130213104,33,2012
130213104,37,2016
130213107,35,2016
130216104,36,2010
130220103,33,2016
130220103,37,2020
130220104,33,2016
130220104,37,2020
130224103,33,2020
130224103,35,2022
130224431,33,2020
130224431,35,2022
130226102,37,2010
130227105,36,2010
130228101,34,2012
130228101,36,2014
130228102,34,2012
130228102,36,2014
130235101,34,2014
130235101,36,2016
130235431,33,2016
130248103,34,2016
130248401,34,2016
130250101,34,2012
130250101,36,2014
130250102,34,2014
130254103,35,2020
130254103,37,2022
130255103,33,2016
130255103,37,2020
130255104,33,2014
130255104,35,2016
130268103,33,2020
130275431,34,2020
130275431,36,2022
130277102,34,2012
130277102,36,2014
130277103,34,2010
130277103,36,2012
130281103,34,2022
130288101,34,2022
130288102,33,2022
130289101,33,2012
130289101,37,2016
130289102,33,2012
130289102,35,2014
130289102,37,2016
130293101,33,2014
130293101,35,2016
130293102,34,2014
130293102,36,2016
130294103,33,2022
130295101,34,2020
130295101,36,2022
130295102,34,2020
130295102,36,2022
130297101,34,2010
130297101,36,2012
130297102,34,2010
130297102,36,2012
130298103,33,2022
130298431,33,2022
130299431,34,2022
130301103,35,2020
130301103,37,2022
130301104,34,2020
130301104,36,2022
130302105,33,2020
130302105,35,2022
130306101,33,2012
130306101,35,2014
130306101,37,2016
130306102,35,2010
130306102,37,2012
130307101,35,2010
130307101,37,2012
130307102,35,2010
130307102,37,2012
130310103,35,2020
130310103,37,2022
130310104,33,2016
130310104,37,2020
130311106,33,2020
130311106,35,2022
130311107,33,2022
130314103,33,2022
130314431,34,2022
130316103,35,2020
130316103,37,2022
130317103,33,2014
130317103,35,2016
130319103,34,2020
130319103,36,2022
130319551,33,2020
130319551,35,2022
130320101,33,2014
130320101,35,2016
130320102,33,2012
130320102,35,2014
130320102,37,2016
130321104,33,2022
130321105,34,2020
130321105,36,2022
130322102,33,2012
130322102,35,2014
130322102,37,2016
130322103,33,2014
130322103,35,2016
130323101,34,2014
130323101,36,2016
130323102,33,2014
130323102,35,2016
130324103,33,2016
130324104,35,2020
130324104,37,2022
130324431,34,2020
130324431,36,2022
130332101,34,2010
130332101,36,2012
130333103,33,2012
130333103,35,2014
130333103,37,2016
130333104,34,2016
130342103,33,2022
130342501,33,2022
130350101,33,2010
130350101,35,2012
130350101,37,2014
130350102,34,2012
130350102,36,2014
130351101,34,2014
130351101,36,2016
130351102,33,2014
130351102,36,2016
130368431,35,2014
130368431,37,2016
130372101,34,2010
130381101,33,2010
130381101,35,2012
130381101,37,2014
130381105,36,2012
130389101,36,2010
130389102,35,2010
130389102,37,2012
130392103,36,2012
130392104,34,2012
130392104,36,2014
130393105,34,2014
130393105,36,2016
130395101,34,2012
130395101,36,2014
130395102,34,2012
130395102,36,2014
130396104,33,2022
130397101,37,2010
130397102,37,2010
130398103,34,2012
130399103,36,2012
130399104,37,2012
130410101,33,2020
130413103,34,2016
130413431,33,2020
130413431,35,2022
130417103,33,2020
130417103,35,2022
130417104,33,2020
130417104,35,2022
130418101,33,2012
130418101,35,2014
130418101,37,2016
130418102,34,2012
130418102,36,2014
130420101,33,2012
130420101,35,2014
130420101,37,2016
130420102,33,2016
130420102,37,2020
130423101,37,2010
130423102,36,2010
130425103,35,2010
130425103,36,2012
130425105,33,2014
130425105,35,2016
130426103,34,2012
130426103,36,2014
130426104,33,2020
130428431,34,2022
130431102,37,2010
130432103,33,2020
130432103,35,2022
130432104,33,2022
130432105,34,2020
130432105,36,2022
130433103,33,2014
130433103,35,2016
130433104,34,2016
130439103,36,2012
130439104,36,2012
130443102,34,2020
130443102,36,2022
130443104,34,2016
130445103,36,2016
130445105,33,2012
130445105,35,2014
130445105,37,2016
130448501,33,2022
130451101,36,2020
130451103,34,2020
130451103,36,2022
130452101,36,2010
130452102,37,2010
130453101,36,2010
130453102,35,2012
130453102,37,2014
130457104,33,2020
130457104,35,2022
130457431,33,2022
130458103,34,2020
130459101,33,2010
130459101,35,2012
130459101,37,2014
130459102,34,2012
130459102,36,2014
130462103,33,2012
130462103,35,2014
130462104,34,2014
130465103,35,2014
130465103,37,2016
130465104,34,2016
130466104,36,2020
130466501,34,2022
130467103,35,2020
130467103,37,2022
130467104,34,2022
130471103,35,2012
130471103,37,2014
130472103,33,2014
130472103,35,2016
130472104,33,2016
130474103,35,2020
130475103,34,2012
130475103,36,2014
130475104,35,2020
130475106,34,2012
130475106,36,2014
130475651,34,2022
130479101,33,2020
130479101,35,2022
130479103,34,2020
130479103,36,2022
130480101,37,2010
130480104,36,2010
130482103,34,2022
130485103,35,2020
130485103,37,2022
130486102,34,2016
130486103,35,2020
130486103,37,2022
130488101,36,2010
130488102,36,2010
130489101,36,2010
130489102,35,2010
130489102,37,2012
130490103,34,2014
130490103,36,2016
130490104,34,2016
130492103,34,2022
130496101,37,2010
130496102,36,2010
130497103,36,2022
130498104,34,2016
130498107,33,2016
130498431,33,2020
130498431,35,2022
130499102,37,2010
130500101,35,2020
130500101,37,2022
130500102,33,2014
130500102,35,2016
130501103,33,2020
130501103,35,2022
130501104,33,2022
130501501,33,2022
130502103,34,2020
130502103,36,2022
130502105,34,2020
130502105,36,2022
130503103,35,2020
130503502,34,2020
130503502,36,2022
130506101,34,2014
130506101,36,2016
130506102,33,2014
130506102,35,2016
130510103,33,2014
130510104,33,2020
130510104,35,2022
130510105,37,2020
130512103,33,2014
130512103,35,2016
130513581,36,2022
130515101,33,2020
130515101,35,2022
130516103,34,2022
130516104,33,2022
130518101,33,2012
130518102,33,2010
130518102,35,2012
130523101,37,2010
130526433,33,2020
130526433,35,2022
130527101,34,2010
130527101,36,2012
130527102,36,2016
130532103,33,2016
130534101,33,2016
130534101,37,2020
130534102,36,2020
130535101,37,2022
130537101,36,2010
130537102,37,2010
130538104,33,2020
130538104,35,2022
130538105,34,2022
130538431,33,2022
130540103,34,2022
130542101,35,2020
130542101,37,2022
130544103,35,2020
130544103,37,2022
130546101,37,2022
130546102,36,2022
130549101,34,2010
130549101,36,2012
130549102,33,2010
130549102,35,2012
130549102,37,2014
130550431,33,2022
130553103,33,2022
130555103,34,2016
130555103,37,2020
130555104,35,2020
130555104,37,2022
130555105,34,2022
130555107,33,2020
130555107,35,2022
130556101,34,2016
130556104,34,2014
130556104,36,2016
130561101,37,2010
130561102,37,2010
130562101,33,2020
130562101,35,2022
130562102,33,2020
130562102,35,2022
130563101,33,2014
130563101,35,2016
130563102,33,2014
130563102,35,2016
130568101,34,2010
130568101,36,2012
130568104,33,2014
130568104,35,2016
130571101,36,2020
130571102,34,2016
130575101,34,2016
130575102,33,2014
130575102,35,2016
130576103,33,2022
130576203,34,2022
130577101,37,2010
130578101,33,2010
130578101,35,2012
130578101,37,2014
130578102,34,2014
130578102,36,2016
130579103,34,2022
130579431,33,2020
130579431,35,2022
130579432,34,2022
130588104,36,2010
130602102,36,2010
130603204,37,2020
130606103,34,2014
130606103,36,2016
130606104,35,2022
130606105,33,2014
130606105,35,2016
130609103,34,2012
130609103,36,2014
130612103,33,2014
130612103,35,2016
130618104,33,2022
130628102,36,2010
130633103,33,2020
130633103,35,2022
130633104,33,2022
130635103,34,2012
130635103,36,2014
130635104,34,2014
130635104,36,2016
130635107,36,2022
130635108,37,2012
130638581,34,2020
130639103,33,2014
130639103,36,2016
130639104,33,2012
130639104,35,2014
130639104,37,2016
130640431,35,2020
130640431,37,2022
130654104,36,2010
130655101,34,2012
130655101,36,2014
130655102,34,2014
130655102,36,2016
130656103,33,2020
130656103,35,2022
130657101,36,2010
130659103,35,2010
130659103,37,2012
130673101,35,2010
130673101,37,2012
130676101,37,2010
130676102,37,2012
130682103,35,2020
130682103,37,2022
130689104,33,2020
130689104,35,2022
130693101,34,2016
130693102,33,2016
130693102,37,2020
130694431,34,2022
130697101,34,2016
130697102,34,2016
130699101,35,2010
130700103,35,2020
130700103,37,2022
130700104,35,2020
130700104,37,2022
130703104,33,2016
130703104,37,2020
130703105,35,2020
130705103,33,2020
130705103,35,2022
130705433,34,2014
130705433,36,2016
130708101,33,2012
130708101,35,2014
130708101,37,2016
130708102,35,2010
130708102,37,2012
130710103,33,2012
130710103,35,2014
130710103,37,2016
130710104,34,2010
130710104,36,2012
130711103,33,2020
130711103,35,2022
130715101,33,2020
130715101,35,2022
130715104,33,2022
130716501,33,2020
130716501,35,2022
130717101,34,2016
130717102,34,2016
130719101,35,2010
130719101,37,2012
130719102,36,2010
130721103,34,2016
130721103,37,2020
130722103,34,2020
130722103,36,2022
130722104,33,2022
130724102,37,2010
130726101,33,2014
130726101,35,2016
130726102,33,2014
130726102,35,2016
130727103,33,2016
130727103,37,2020
130728101,34,2010
130733102,36,2010
130735101,34,2010
130735101,36,2012
130735102,34,2010
130735102,36,2012
130736101,34,2010
130736101,36,2012
130736102,36,2010
130737101,34,2010
130737102,33,2010
130737102,37,2014
130746101,34,2014
130746101,37,2016
130746104,34,2014
130749102,34,2022
130750103,34,2020
130750103,36,2022
130750104,34,2020
130750104,36,2022
130752431,33,2020
130752431,35,2022
130761103,35,2022
130761431,33,2020
130761431,35,2022
130762103,35,2020
130762103,37,2022
130775101,36,2010
130775102,37,2010
130777101,36,2020
130777102,33,2016
130777102,37,2020
130783101,34,2016
130783102,33,2012
130783102,35,2014
130784101,35,2010
130788103,33,2020
130788103,35,2022
130788104,33,2022
130789103,36,2020
130789104,33,2020
130789104,35,2022
130790102,35,2010
130790102,37,2012
130792103,34,2014
130792103,36,2016
130799102,37,2010
130807103,33,2016
130807103,36,2020
130809103,33,2020
130809103,35,2022
130810107,37,2010
130813103,35,2016
130813105,33,2022
130815102,34,2016
130815102,37,2020
130815105,33,2014
130815105,35,2016
130816103,33,2022
130831431,34,2012
130831431,36,2014
130836551,37,2016
130841101,34,2014
130841101,36,2016
130841102,37,2012
130844101,34,2014
130844101,36,2016
130844102,34,2012
130844102,36,2014
130846101,34,2014
130846101,36,2016
130846102,34,2016
130849532,33,2022
130851103,34,2016
130851103,37,2020
130851104,34,2022
130851106,34,2016
130851106,37,2020
130858104,34,2016
130858431,34,2014
130859104,34,2022
130859105,34,2022
130859501,33,2022
130863101,37,2010
130863102,36,2010
130864431,33,2014
130865102,36,2010
130872102,34,2014
130872102,36,2016
130872103,34,2020
130872103,36,2022
130872104,34,2022
130873102,36,2020
130873104,34,2022
130874104,36,2020
130875103,37,2016
130876101,36,2020
130876102,34,2020
130876102,36,2022
130877101,33,2012
130877101,35,2014
130877101,37,2016
130877104,34,2012
130877104,36,2014
130878101,34,2012
130878101,36,2014
130879104,34,2022
130880103,34,2020
130880103,36,2022
130880104,33,2020
130880104,35,2022
130880106,34,2022
130881103,34,2012
130881103,36,2014
130881104,34,2012
130881104,36,2014
130883101,37,2010
130883102,37,2010
130884101,34,2012
130884101,36,2014
130884104,34,2012
130884104,36,2014
130886101,37,2020
130886104,35,2022
130886105,34,2022
130887103,33,2020
130887103,35,2022
130887104,34,2022
130887105,33,2020
130887105,35,2022
130889105,33,2020
130889105,35,2022
130891431,33,2014
130891431,35,2016
130892103,34,2020
130892103,36,2022
130892104,35,2022
130893104,34,2020
130893104,36,2022
130893105,34,2020
130893105,36,2022
130894101,33,2020
130894101,35,2022
130894104,34,2012
130894104,36,2014
130894105,34,2020
130894105,36,2022
130894106,34,2020
130894106,36,2022
130895101,35,2020
130896103,34,2020
130896103,36,2022
130896104,33,2022
130898101,34,2016
130898102,33,2010
130898102,35,2012
130898102,37,2014
130899101,34,2012
130899101,36,2014
130899102,34,2012
130899102,36,2014
130900103,35,2020
130900103,37,2022
130900104,34,2022
130900105,33,2016
130900105,37,2020
130901103,33,2020
130901104,36,2020
130901105,33,2020
130902103,34,2020
130902103,36,2022
130902104,33,2020
130902104,35,2022
130902106,34,2020
130902106,36,2022
130903103,33,2012
130904103,37,2010
130906101,34,2020
130906101,36,2022
130906104,33,2022
130911103,34,2016
130911104,34,2016
130911107,34,2022
130913102,37,2010
130914103,34,2020
130914103,36,2022
130914104,33,2020
130917103,33,2022
130917104,34,2020
130917104,36,2022
130918101,33,2012
130918101,35,2014
130918101,37,2016
130918102,33,2012
130918102,35,2014
130918102,37,2016
130919204,37,2020
130923103,36,2020
130923104,33,2016
130926101,34,2020
130926101,36,2022
130926102,36,2020
130928103,34,2014
130928103,36,2016
130928104,34,2016
130933103,33,2022
130935104,37,2010
130937101,37,2010
130937102,36,2012
130938101,34,2010
130938101,36,2012
130940103,33,2022
130940431,34,2022
131269551,33,2020
131890551,33,2020
132051551,34,2016
132051551,37,2020
132341501,33,2016
132777551,33,2022
133183651,33,2022
133490551,35,2020
134206551,33,2022
134674551,33,2022
134723501,34,2016
134986551,33,2022
135165501,36,2020
136103501,33,2016
136103501,36,2020
136805551,34,2022
137647551,34,2022
138372503,33,2020
138372503,35,2022
139466431,34,2012
139466431,36,2014
139466432,34,2012
139500501,34,2014
139500501,36,2016
139751504,33,2020
139751504,35,2022
140003103,33,2022
140005102,37,2010
140006101,36,2020
140006102,33,2020
140006102,35,2022
140007104,34,2014
140007104,36,2016
140007105,33,2016
140007105,37,2020
140007106,33,2016
140007106,36,2020
140010101,35,2010
140010101,37,2012
140010102,35,2010
140010102,37,2012
140013103,36,2020
140013104,33,2016
140013104,37,2020
140014102,37,2010
140015103,35,2020
140015103,37,2022
140015104,34,2020
140016101,37,2010
140017101,36,2010
140018101,33,2016
140018104,33,2016
140019103,35,2020
140019103,37,2022
140019104,34,2022
140020101,37,2010
140021104,34,2020
140023102,37,2010
140024103,33,2016
140024103,37,2020
140024431,34,2016
140024431,37,2020
140027103,33,2010
140027103,35,2012
140027103,37,2014
140027104,34,2012
140027104,36,2014
140031103,33,2012
140031103,35,2014
140031103,37,2016
140031104,36,2016
140037102,35,2010
140038101,34,2010
140038101,36,2012
140038102,36,2012
140039101,34,2010
140039101,36,2012
140039102,34,2010
140039102,36,2012
140045101,33,2010
140045101,35,2012
140045101,37,2014
140045102,34,2010
140045102,36,2012
140046103,33,2016
140046103,36,2020
140046501,34,2020
140047101,33,2012
140047101,35,2014
140047101,37,2016
140047102,34,2012
140047102,36,2014
140049101,34,2016
140049102,37,2010
140050102,37,2010
140052101,35,2010
140052101,37,2012
140052102,36,2010
140056101,33,2012
140056101,35,2014
140056101,37,2016
140056102,33,2012
140056102,35,2014
140056102,37,2016
140057101,36,2010
140058103,34,2016
140058104,35,2020
140058104,37,2022
140058431,33,2020
140058431,35,2022
140064102,34,2010
140064102,36,2012
140071103,34,2022
140074103,37,2022
140075102,35,2010
140075102,37,2012
140075103,35,2010
140075103,37,2012
140076101,36,2010
140076102,37,2010
140078101,37,2010
140078102,37,2010
140079101,35,2016
140079104,34,2016
140079105,36,2020
140080102,33,2010
140080102,35,2012
140080102,37,2014
140080103,36,2012
140082102,33,2010
140082102,35,2012
140083101,34,2010
140083101,36,2012
140084103,36,2020
140084105,34,2020
140084105,36,2022
140086104,34,2016
140088103,36,2020
140088104,34,2014
140088104,37,2016
140090101,36,2010
140093103,33,2022
140095101,36,2010
140096101,34,2012
140096101,36,2014
140097103,33,2022
140101103,35,2010
140101103,37,2012
140104431,33,2022
140105102,33,2016
140105102,36,2020
140105103,33,2020
140108103,35,2010
140108103,37,2012
140108104,33,2022
140110103,34,2022
140110501,33,2022
140114101,34,2012
140114101,36,2014
140114102,34,2014
140114102,36,2016
140116431,34,2022
140117101,34,2010
140117101,36,2012
140118104,34,2022
140122103,37,2022
140122104,33,2020
140122104,35,2022
140122551,33,2022
140128101,33,2016
140128101,37,2020
140128102,34,2016
140128102,37,2020
140132104,35,2010
140132104,37,2012
140137103,37,2022
140137501,34,2020
140137501,36,2022
140140101,34,2010
140140101,36,2012
140146105,33,2020
140146105,35,2022
140148101,33,2010
140148101,35,2012
140148101,37,2014
140148104,34,2014
140149102,36,2020
140149103,34,2020
140149103,36,2022
140150103,34,2010
140150103,36,2012
140150104,33,2012
140150104,35,2014
140150104,37,2016
140150105,33,2010
140150105,35,2012
140150105,37,2014
140150106,34,2014
140150106,36,2016
140153431,34,2020
140154431,34,2016
140154432,35,2020
140155101,34,2014
140155101,36,2016
140155102,34,2014
140155102,36,2016
140156101,33,2016
140156101,37,2020
140156102,34,2016
140157102,35,2010
140157102,37,2012
140158532,35,2014
140158532,37,2016
140162105,34,2014
140162106,33,2010
140162106,35,2012
140162106,37,2014
140171101,34,2010
140171101,36,2012
140171102,33,2014
140171102,35,2016
140177101,35,2014
140177101,37,2016
140177103,34,2014
140177103,36,2016
140182105,35,2020
140182105,37,2022
140184101,34,2012
140184101,36,2014
140184102,34,2012
140184102,36,2014
140187101,37,2010
140187102,37,2010
140188103,36,2010
140188104,35,2012
140188104,37,2014
140192101,34,2014
140192101,36,2016
140192102,34,2022
140195102,36,2010
140198101,36,2016
140198102,33,2014
140198102,35,2016
140199103,33,2020
140199103,35,2022
140200103,33,2012
140200103,37,2016
140200104,34,2016
140203101,33,2016
140203101,37,2020
140203104,35,2020
140203104,37,2022
140209431,35,2020
140209431,37,2022
140210101,35,2010
140210101,37,2012
140210102,34,2016
140212103,35,2020
140212103,37,2022
140212431,33,2022
140221103,34,2022
140221104,33,2022
140222103,36,2020
140222104,36,2022
140222105,34,2020
140222105,36,2022
140223431,35,2020
140223432,36,2020
140224102,33,2016
140224102,37,2020
140229103,33,2022
140230581,33,2020
140230581,35,2022
140231101,37,2010
140231103,35,2010
140237101,35,2010
140240101,34,2010
140240102,36,2010
140241103,34,2014
140241103,36,2016
140241104,33,2012
140241104,35,2014
140244101,34,2020
140244101,36,2022
140244651,36,2020
140246101,34,2016
140253431,33,2022
140258101,37,2010
140258102,37,2010
140260101,37,2010
140266101,36,2010
140266103,34,2010
140271101,35,2010
140271102,36,2010
140273101,33,2010
140274101,33,2016
140278101,34,2010
140287101,37,2012
140292101,33,2012
140293101,33,2014
140293102,36,2010
140294103,33,2020
140294103,35,2022
140294104,33,2022
140297101,33,2016
140298102,33,2010
140304101,34,2022
140304102,35,2016
140307103,33,2022
140309105,33,2012
140317101,36,2010
140320103,33,2022
140322103,34,2016
140322501,34,2016
140327103,34,2022
140330101,34,2014
140330101,36,2016
140330104,33,2014
140330104,35,2016
140334103,33,2022
140336101,36,2010
140336102,37,2010
140337104,35,2016
140338103,33,2022
140338104,35,2022
140339104,33,2022
140340104,35,2010
140340104,37,2012
140340105,35,2010
140340105,37,2012
140344103,33,2016
140344104,37,2022
140345101,36,2020
140345102,35,2014
140347101,36,2020
140347102,35,2020
140347102,37,2022
140347105,34,2022
140350103,34,2020
140350103,36,2022
140350104,34,2022
140351103,33,2022
140351501,34,2020
140352101,33,2010
140352101,35,2012
140352101,37,2014
140352102,35,2010
140353103,35,2020
140354101,36,2010
140355104,33,2020
140355104,35,2022
140355106,34,2020
140355501,33,2022
140356103,34,2020
