pid,survey_count,age_35_years,all_survey_years,min_age,max_age
130475103,7,"2012,2014","2012,2014",34,36
130479101,7,"2020,2022","2020,2022",33,35
130479103,7,"2020,2022","2020,2022",34,36
130480101,7,2010,2010,37,37
130480104,7,2010,2010,36,36
130489101,7,2010,2010,36,36
130489102,7,"2010,2012","2010,2012",35,37
130496102,7,2010,2010,36,36
130499102,7,2010,2010,37,37
130500101,7,"2020,2022","2020,2022",35,37
130506102,7,"2014,2016","2014,2016",33,35
130516103,7,2022,2022,34,34
130534101,7,"2016,2020","2016,2020",33,37
130534102,7,2020,2020,36,36
130538104,7,"2020,2022","2020,2022",33,35
130542101,7,"2020,2022","2020,2022",35,37
130555103,7,"2016,2020","2016,2020",34,37
130555107,7,"2020,2022","2020,2022",33,35
130561101,7,2010,2010,37,37
130561102,7,2010,2010,37,37
130562101,7,"2020,2022","2020,2022",33,35
130563101,7,"2014,2016","2014,2016",33,35
130563102,7,"2014,2016","2014,2016",33,35
130568101,7,"2010,2012","2010,2012",34,36
130571101,7,2020,2020,36,36
130571102,7,2016,2016,34,34
130578102,7,"2014,2016","2014,2016",34,36
130588104,7,2010,2010,36,36
130602102,7,2010,2010,36,36
130606105,7,"2014,2016","2014,2016",33,35
130654104,7,2010,2010,36,36
130655101,7,"2012,2014","2012,2014",34,36
130655102,7,"2014,2016","2014,2016",34,36
130656103,7,"2020,2022","2020,2022",33,35
130657101,7,2010,2010,36,36
130673101,7,"2010,2012","2010,2012",35,37
130676101,7,2010,2010,37,37
130693101,7,2016,2016,34,34
130697101,7,2016,2016,34,34
130697102,7,2016,2016,34,34
130700103,7,"2020,2022","2020,2022",35,37
130703104,7,"2016,2020","2016,2020",33,37
130705103,7,"2020,2022","2020,2022",33,35
130708101,7,"2012,2014,2016","2012,2014,2016",33,37
130708102,7,"2010,2012","2010,2012",35,37
130710103,7,"2012,2014,2016","2012,2014,2016",33,37
130710104,7,"2010,2012","2010,2012",34,36
130711103,7,"2020,2022","2020,2022",33,35
130715101,7,"2020,2022","2020,2022",33,35
130717101,7,2016,2016,34,34
130719101,7,"2010,2012","2010,2012",35,37
130719102,7,2010,2010,36,36
130722104,7,2022,2022,33,33
130733102,7,2010,2010,36,36
130736101,7,"2010,2012","2010,2012",34,36
130750103,7,"2020,2022","2020,2022",34,36
130762103,7,"2020,2022","2020,2022",35,37
130789103,7,2020,2020,36,36
130789104,7,"2020,2022","2020,2022",33,35
130790102,7,"2010,2012","2010,2012",35,37
130799102,7,2010,2010,37,37
130810107,7,2010,2010,37,37
130815102,7,"2016,2020","2016,2020",34,37
130815105,7,"2014,2016","2014,2016",33,35
130841101,7,"2014,2016","2014,2016",34,36
130844101,7,"2014,2016","2014,2016",34,36
130846101,7,"2014,2016","2014,2016",34,36
130846102,7,2016,2016,34,34
130865102,7,2010,2010,36,36
130872103,7,"2020,2022","2020,2022",34,36
130873104,7,2022,2022,34,34
130877101,7,"2012,2014,2016","2012,2014,2016",33,37
130878101,7,"2012,2014","2012,2014",34,36
130880103,7,"2020,2022","2020,2022",34,36
130880104,7,"2020,2022","2020,2022",33,35
130880106,7,2022,2022,34,34
130881104,7,"2012,2014","2012,2014",34,36
130883102,7,2010,2010,37,37
130884101,7,"2012,2014","2012,2014",34,36
130886105,7,2022,2022,34,34
130887103,7,"2020,2022","2020,2022",33,35
130887104,7,2022,2022,34,34
130887105,7,"2020,2022","2020,2022",33,35
130889105,7,"2020,2022","2020,2022",33,35
130893105,7,"2020,2022","2020,2022",34,36
130894101,7,"2020,2022","2020,2022",33,35
130894105,7,"2020,2022","2020,2022",34,36
130894106,7,"2020,2022","2020,2022",34,36
130896104,7,2022,2022,33,33
130898101,7,2016,2016,34,34
130898102,7,"2010,2012,2014","2010,2012,2014",33,37
130899101,7,"2012,2014","2012,2014",34,36
130899102,7,"2012,2014","2012,2014",34,36
130900103,7,"2020,2022","2020,2022",35,37
130900104,7,2022,2022,34,34
130901104,7,2020,2020,36,36
130902104,7,"2020,2022","2020,2022",33,35
130902106,7,"2020,2022","2020,2022",34,36
130904103,7,2010,2010,37,37
130906104,7,2022,2022,33,33
130911103,7,2016,2016,34,34
130911104,7,2016,2016,34,34
130917104,7,"2020,2022","2020,2022",34,36
130918101,7,"2012,2014,2016","2012,2014,2016",33,37
130926101,7,"2020,2022","2020,2022",34,36
130926102,7,2020,2020,36,36
130928103,7,"2014,2016","2014,2016",34,36
130928104,7,2016,2016,34,34
130933103,7,2022,2022,33,33
130935104,7,2010,2010,37,37
130937101,7,2010,2010,37,37
140003103,7,2022,2022,33,33
140005102,7,2010,2010,37,37
140006101,7,2020,2020,36,36
140006102,7,"2020,2022","2020,2022",33,35
140010102,7,"2010,2012","2010,2012",35,37
140013103,7,2020,2020,36,36
140019103,7,"2020,2022","2020,2022",35,37
140019104,7,2022,2022,34,34
140020101,7,2010,2010,37,37
140023102,7,2010,2010,37,37
140027103,7,"2010,2012,2014","2010,2012,2014",33,37
140027104,7,"2012,2014","2012,2014",34,36
140045101,7,"2010,2012,2014","2010,2012,2014",33,37
140045102,7,"2010,2012","2010,2012",34,36
140049101,7,2016,2016,34,34
140052101,7,"2010,2012","2010,2012",35,37
140052102,7,2010,2010,36,36
140056101,7,"2012,2014,2016","2012,2014,2016",33,37
140056102,7,"2012,2014,2016","2012,2014,2016",33,37
140058104,7,"2020,2022","2020,2022",35,37
140076101,7,2010,2010,36,36
140076102,7,2010,2010,37,37
140080102,7,"2010,2012,2014","2010,2012,2014",33,37
140083101,7,"2010,2012","2010,2012",34,36
140084103,7,2020,2020,36,36
140084105,7,"2020,2022","2020,2022",34,36
140086104,7,2016,2016,34,34
140088103,7,2020,2020,36,36
140088104,7,"2014,2016","2014,2016",34,37
140095101,7,2010,2010,36,36
140096101,7,"2012,2014","2012,2014",34,36
140097103,7,2022,2022,33,33
140108104,7,2022,2022,33,33
140122104,7,"2020,2022","2020,2022",33,35
140128101,7,"2016,2020","2016,2020",33,37
140132104,7,"2010,2012","2010,2012",35,37
140140101,7,"2010,2012","2010,2012",34,36
140149102,7,2020,2020,36,36
140149103,7,"2020,2022","2020,2022",34,36
140150103,7,"2010,2012","2010,2012",34,36
140155101,7,"2014,2016","2014,2016",34,36
140155102,7,"2014,2016","2014,2016",34,36
140156101,7,"2016,2020","2016,2020",33,37
140156102,7,2016,2016,34,34
140162106,7,"2010,2012,2014","2010,2012,2014",33,37
140171101,7,"2010,2012","2010,2012",34,36
140171102,7,"2014,2016","2014,2016",33,35
140177103,7,"2014,2016","2014,2016",34,36
140184101,7,"2012,2014","2012,2014",34,36
140184102,7,"2012,2014","2012,2014",34,36
140187101,7,2010,2010,37,37
140187102,7,2010,2010,37,37
140188103,7,2010,2010,36,36
140192101,7,"2014,2016","2014,2016",34,36
140192102,7,2022,2022,34,34
140195102,7,2010,2010,36,36
140198102,7,"2014,2016","2014,2016",33,35
140203101,7,"2016,2020","2016,2020",33,37
140203104,7,"2020,2022","2020,2022",35,37
140221104,7,2022,2022,33,33
140222105,7,"2020,2022","2020,2022",34,36
140304101,7,2022,2022,34,34
140304102,7,2016,2016,35,35
140320103,7,2022,2022,33,33
140347101,7,2020,2020,36,36
140347102,7,"2020,2022","2020,2022",35,37
140350103,7,"2020,2022","2020,2022",34,36
140350104,7,2022,2022,34,34
140351103,7,2022,2022,33,33
140354101,7,2010,2010,36,36
140355104,7,"2020,2022","2020,2022",33,35
140357101,7,"2020,2022","2020,2022",33,35
140357102,7,"2012,2014","2012,2014",34,36
140359101,7,"2014,2016","2014,2016",33,36
140359102,7,"2016,2020","2016,2020",33,37
140360101,7,"2020,2022","2020,2022",35,37
140362101,7,2010,2010,37,37
140365105,7,"2016,2020","2016,2020",33,37
140368103,7,"2020,2022","2020,2022",33,35
140370103,7,"2020,2022","2020,2022",33,35
140370105,7,2022,2022,33,33
140486101,7,"2012,2014","2012,2014",34,36
140486102,7,"2010,2012","2010,2012",34,36
140520101,7,"2010,2012","2010,2012",35,37
140523104,7,2010,2010,36,36
140533104,7,2022,2022,33,33
140548103,7,"2016,2020","2016,2020",33,37
140573103,7,"2020,2022","2020,2022",33,35
140616101,7,2010,2010,36,36
140626101,7,"2010,2012","2010,2012",35,37
140640101,7,2020,2020,36,36
140640102,7,"2020,2022","2020,2022",33,35
140641103,7,"2020,2022","2020,2022",35,37
140641104,7,"2020,2022","2020,2022",33,35
140644103,7,2022,2022,33,33
140650102,7,"2020,2022","2020,2022",33,35
140668103,7,"2020,2022","2020,2022",35,37
140670105,7,"2020,2022","2020,2022",34,36
140673101,7,2010,2010,37,37
140687101,7,"2010,2012","2010,2012",34,36
140687103,7,2010,2010,36,36
140702101,7,"2010,2012","2010,2012",35,37
140714101,7,"2010,2012","2010,2012",34,36
140714102,7,"2012,2014,2016","2012,2014,2016",33,37
140719101,7,"2012,2014","2012,2014",34,36
140719102,7,"2010,2012","2010,2012",35,37
140748101,7,"2010,2012","2010,2012",35,37
140749104,7,2022,2022,33,33
140831101,7,2010,2010,36,36
140834103,7,"2014,2016","2014,2016",33,35
140834104,7,"2020,2022","2020,2022",35,37
140860101,7,"2010,2012,2014","2010,2012,2014",33,37
140867101,7,"2016,2020","2016,2020",33,37
210012101,7,"2012,2014","2012,2014",34,36
210012104,7,"2012,2014,2016","2012,2014,2016",33,37
210029101,7,"2012,2014,2016","2012,2014,2016",33,37
210043101,7,"2012,2014","2012,2014",34,36
210043102,7,"2012,2014,2016","2012,2014,2016",33,37
210079104,7,2016,2016,34,34
210083104,7,2016,2016,35,35
210098102,7,2020,2020,36,36
210126104,7,"2014,2016","2014,2016",34,36
210144101,7,"2010,2012","2010,2012",35,37
210148104,7,2016,2016,34,34
210173103,7,"2010,2012,2014","2010,2012,2014",33,37
210181104,7,2010,2010,37,37
210191102,7,2010,2010,36,36
210194102,7,"2010,2012","2010,2012",34,36
210195101,7,"2012,2014","2012,2014",34,36
210195102,7,"2012,2014,2016","2012,2014,2016",33,37
210196101,7,2010,2010,37,37
210196102,7,"2010,2012","2010,2012",35,37
210201101,7,2010,2010,36,36
210208101,7,2020,2020,36,36
210263101,7,2010,2010,37,37
210275101,7,2016,2016,34,34
210275102,7,2016,2016,34,34
210285102,7,"2012,2014","2012,2014",34,36
210310102,7,2022,2022,34,34
210310103,7,2022,2022,34,34
210366103,7,2016,2016,34,34
210389101,7,"2014,2016","2014,2016",33,35
210389102,7,2016,2016,34,34
210391102,7,"2010,2012","2010,2012",34,36
210395101,7,2010,2010,37,37
210398102,7,"2020,2022","2020,2022",34,36
210403101,7,2020,2020,36,36
210403102,7,"2016,2020","2016,2020",33,37
210409102,7,"2016,2020","2016,2020",34,37
210411104,7,2010,2010,36,36
210413101,7,"2010,2012,2014","2010,2012,2014",33,37
210422104,7,"2014,2016","2014,2016",34,36
210427103,7,2010,2010,36,36
210427104,7,"2010,2012","2010,2012",35,37
210429103,7,2022,2022,34,34
210435102,7,"2010,2012,2014","2010,2012,2014",33,37
210447101,7,2010,2010,37,37
210452101,7,2022,2022,34,34
210460101,7,"2014,2016","2014,2016",33,35
210460102,7,"2014,2016","2014,2016",33,35
210596103,7,"2012,2014,2016","2012,2014,2016",33,37
210611103,7,2022,2022,34,34
210625105,7,"2020,2022","2020,2022",34,36
210630103,7,2020,2020,36,36
210634103,7,"2010,2012","2010,2012",34,36
210634104,7,"2010,2012,2014","2010,2012,2014",33,37
210638103,7,2016,2016,34,34
210647102,7,"2010,2012","2010,2012",35,37
210648103,7,"2020,2022","2020,2022",35,37
210648104,7,"2020,2022","2020,2022",34,36
210649102,7,2010,2010,37,37
210660103,7,"2016,2020","2016,2020",33,37
210660104,7,2016,2016,34,34
210684101,7,2016,2016,34,34
210684102,7,"2016,2020","2016,2020",33,37
210688101,7,"2012,2014","2012,2014",34,36
210698101,7,"2012,2014","2012,2014",34,36
210728106,7,"2020,2022","2020,2022",33,35
210730105,7,"2020,2022","2020,2022",34,36
210741101,7,2010,2010,36,36
210759103,7,2022,2022,34,34
210786101,7,"2012,2014","2012,2014",34,36
210801101,7,2010,2010,36,36
210801102,7,2010,2010,36,36
210813101,7,2010,2010,36,36
210829104,7,"2010,2012","2010,2012",34,36
210829105,7,"2014,2016","2014,2016",34,36
210835101,7,"2010,2012,2014","2010,2012,2014",33,37
210835102,7,"2010,2012,2014","2010,2012,2014",33,37
210836101,7,2010,2010,37,37
210840102,7,"2012,2014","2012,2014",34,36
210841101,7,2010,2010,37,37
210863103,7,"2020,2022","2020,2022",34,36
210865101,7,"2010,2012,2014","2010,2012,2014",33,37
210865102,7,"2010,2012","2010,2012",34,36
210909104,7,"2012,2014","2012,2014",34,36
210912101,7,2020,2020,36,36
210918104,7,2010,2010,37,37
210924103,7,2022,2022,34,34
210924104,7,"2020,2022","2020,2022",33,35
210932101,7,"2010,2012","2010,2012",34,36
210995101,7,2016,2016,34,34
210995103,7,2010,2010,37,37
211015103,7,2016,2016,35,35
211028105,7,"2020,2022","2020,2022",33,35
211029101,7,"2010,2012","2010,2012",34,36
211031101,7,"2016,2020","2016,2020",33,37
211044101,7,"2010,2012","2010,2012",34,36
211044103,7,2010,2010,36,36
211047103,7,"2020,2022","2020,2022",33,35
211097102,7,2010,2010,37,37
211099101,7,"2010,2012","2010,2012",35,37
211099102,7,"2010,2012,2014","2010,2012,2014",33,37
211114101,7,"2010,2012","2010,2012",35,37
211181103,7,"2014,2016","2014,2016",33,35
211190102,7,"2010,2012,2014","2010,2012,2014",33,37
211191104,7,"2010,2012","2010,2012",34,36
211199103,7,2022,2022,34,34
211200101,7,"2012,2014","2012,2014",34,36
211206103,7,2010,2010,36,36
211218102,7,"2010,2012","2010,2012",35,37
211230103,7,"2020,2022","2020,2022",34,36
211230105,7,"2020,2022","2020,2022",34,36
211249101,7,"2012,2014,2016","2012,2014,2016",33,37
211249102,7,"2010,2012","2010,2012",35,37
211294101,7,"2012,2014,2016","2012,2014,2016",33,37
211337101,7,"2012,2014","2012,2014",34,36
211338101,7,2016,2016,34,34
211342103,7,"2020,2022","2020,2022",33,35
211402104,7,"2016,2020","2016,2020",33,37
211402107,7,2022,2022,34,34
211407101,7,2010,2010,37,37
211407102,7,2010,2010,37,37
211408105,7,"2020,2022","2020,2022",35,37
211409104,7,2010,2010,36,36
211417104,7,2010,2010,36,36
211419104,7,2022,2022,33,33
211422101,7,"2014,2016","2014,2016",33,35
211425102,7,2010,2010,36,36
211427103,7,"2014,2016","2014,2016",33,35
211427104,7,"2016,2020","2016,2020",33,37
211430103,7,"2010,2012","2010,2012",35,37
211430104,7,"2012,2014","2012,2014",34,36
211444103,7,2010,2010,37,37
211458101,7,"2010,2012,2014","2010,2012,2014",33,37
211460104,7,"2020,2022","2020,2022",35,37
211461101,7,2010,2010,37,37
211465104,7,"2016,2020","2016,2020",33,37
211468102,7,"2010,2012","2010,2012",35,37
211469101,7,"2010,2012","2010,2012",34,36
211469102,7,2010,2010,37,37
211470101,7,2016,2016,34,34
211470102,7,"2020,2022","2020,2022",33,35
211472101,7,2020,2020,36,36
211473102,7,"2012,2014,2016","2012,2014,2016",33,37
211478101,7,"2014,2016","2014,2016",34,36
211478102,7,"2012,2014","2012,2014",34,36
211491103,7,2020,2020,36,36
211491104,7,"2020,2022","2020,2022",33,35
211492103,7,2010,2010,37,37
211496101,7,"2012,2014,2016","2012,2014,2016",33,37
211496104,7,"2012,2014,2016","2012,2014,2016",33,37
211505102,7,2010,2010,37,37
211517101,7,2010,2010,37,37
211517102,7,2010,2010,37,37
211518104,7,"2010,2012,2014","2010,2012,2014",33,37
211525101,7,2022,2022,34,34
211525102,7,"2020,2022","2020,2022",33,35
211538102,7,"2014,2016","2014,2016",33,35
211538103,7,"2012,2014","2012,2014",34,36
211539101,7,2010,2010,37,37
211543101,7,"2020,2022","2020,2022",33,35
211546103,7,2022,2022,33,33
211554103,7,2022,2022,34,34
211558102,7,"2010,2012","2010,2012",34,36
211558103,7,"2012,2014","2012,2014",34,36
211563103,7,2010,2010,37,37
211597101,7,2010,2010,36,36
211677103,7,2010,2010,37,37
211715101,7,"2010,2012","2010,2012",34,36
211715102,7,"2010,2012","2010,2012",35,37
211723103,7,2020,2020,36,36
211726102,7,2010,2010,36,36
211763104,7,"2010,2012","2010,2012",35,37
211766103,7,"2012,2014","2012,2014",34,36
211766104,7,"2014,2016","2014,2016",34,36
211787101,7,2016,2016,34,34
211787102,7,"2012,2014","2012,2014",33,35
211789103,7,2022,2022,34,34
211792104,7,"2014,2016","2014,2016",33,35
211792105,7,2016,2016,34,34
211814101,7,"2014,2016","2014,2016",34,36
211814102,7,"2012,2014,2016","2012,2014,2016",33,37
211817103,7,2022,2022,33,33
211818101,7,2010,2010,37,37
211819103,7,"2020,2022","2020,2022",34,36
211819104,7,"2020,2022","2020,2022",33,35
211828102,7,2020,2020,36,36
211829102,7,2016,2016,34,34
211832103,7,"2016,2020","2016,2020",33,37
211837101,7,"2010,2012","2010,2012",35,37
211837104,7,"2012,2014,2016","2012,2014,2016",33,37
211838101,7,"2014,2016","2014,2016",34,36
211853101,7,2016,2016,34,34
211853102,7,"2016,2020","2016,2020",33,37
211858101,7,"2010,2012","2010,2012",34,36
211874101,7,"2012,2014","2012,2014",34,36
211874104,7,"2014,2016","2014,2016",33,35
211875101,7,"2010,2012,2014","2010,2012,2014",33,37
211875102,7,"2010,2012,2014","2010,2012,2014",33,37
211876104,7,2010,2010,37,37
211892101,7,"2010,2012,2014","2010,2012,2014",33,37
211892102,7,"2012,2014","2012,2014",34,36
211897101,7,"2010,2012","2010,2012",34,36
211897102,7,"2012,2014","2012,2014",34,36
211926102,7,2022,2022,34,34
211940101,7,"2014,2016","2014,2016",34,36
211943101,7,"2012,2014,2016","2012,2014,2016",33,37
211946103,7,"2020,2022","2020,2022",33,35
220003103,7,"2020,2022","2020,2022",34,36
220021103,7,"2020,2022","2020,2022",35,37
220024101,7,2016,2016,34,34
220059101,7,"2010,2012","2010,2012",34,36
220060103,7,2010,2010,36,36
220062101,7,2016,2016,34,34
220067101,7,"2016,2020","2016,2020",33,37
220069104,7,"2020,2022","2020,2022",35,37
220084101,7,2010,2010,37,37
220084102,7,2010,2010,37,37
220085101,7,"2012,2014,2016","2012,2014,2016",33,37
220085102,7,"2012,2014","2012,2014",34,36
220086101,7,"2010,2012","2010,2012",34,36
220086102,7,"2010,2012","2010,2012",35,37
220089101,7,"2010,2012","2010,2012",35,37
220104101,7,"2020,2022","2020,2022",33,35
220104104,7,2022,2022,33,33
220110101,7,"2014,2016","2014,2016",34,36
220126101,7,"2012,2014,2016","2012,2014,2016",33,37
220126102,7,"2012,2014,2016","2012,2014,2016",33,37
220138101,7,2016,2016,34,34
220138102,7,"2012,2014,2016","2012,2014,2016",33,37
220149101,7,"2010,2012","2010,2012",34,36
220149102,7,"2012,2014","2012,2014",34,36
220154103,7,2022,2022,33,33
220168103,7,"2014,2016","2014,2016",34,36
220177101,7,2016,2016,34,34
220178102,7,"2012,2014","2012,2014",34,36
220180102,7,"2014,2016","2014,2016",34,36
220183101,7,2010,2010,37,37
220186101,7,2010,2010,36,36
220213104,7,"2020,2022","2020,2022",33,35
220228101,7,"2020,2022","2020,2022",33,35
220236101,7,2020,2020,36,36
220236102,7,"2020,2022","2020,2022",35,37
220258101,7,"2012,2014,2016","2012,2014,2016",33,37
220258102,7,"2016,2020","2016,2020",33,37
220309102,7,"2010,2012","2010,2012",34,36
220319101,7,2016,2016,34,34
220319102,7,"2014,2016","2014,2016",34,36
220323103,7,"2010,2012,2014","2010,2012,2014",33,37
220323104,7,"2012,2014","2012,2014",34,36
220328103,7,"2012,2014","2012,2014",34,36
220329102,7,2010,2010,36,36
220329103,7,"2012,2014","2012,2014",34,36
220349102,7,"2010,2012,2014","2010,2012,2014",33,37
220362102,7,"2016,2020","2016,2020",33,37
230004103,7,2020,2020,36,36
230008103,7,"2012,2014","2012,2014",34,36
230018102,7,2010,2010,36,36
230027103,7,2022,2022,33,33
230038101,7,"2014,2016","2014,2016",33,35
230038102,7,"2014,2016","2014,2016",33,35
230051101,7,2010,2010,37,37
230054101,7,"2012,2014","2012,2014",34,36
230054106,7,"2012,2014,2016","2012,2014,2016",33,37
230067101,7,"2014,2016","2014,2016",33,35
230067104,7,"2012,2014","2012,2014",34,36
230081104,7,"2010,2012","2010,2012",35,37
230082101,7,"2012,2014,2016","2012,2014,2016",33,37
230082103,7,"2010,2012","2010,2012",34,36
230083101,7,"2010,2012","2010,2012",34,36
230089101,7,"2012,2014,2016","2012,2014,2016",33,37
230089104,7,"2012,2014","2012,2014",34,36
230111101,7,"2010,2012","2010,2012",34,36
230112101,7,2016,2016,34,34
230116104,7,"2020,2022","2020,2022",33,35
230133101,7,2010,2010,36,36
230169101,7,"2016,2020","2016,2020",33,37
230185102,7,2016,2016,34,34
230185103,7,"2020,2022","2020,2022",34,36
230186101,7,"2016,2020","2016,2020",33,37
230193103,7,2022,2022,33,33
230218101,7,"2010,2012","2010,2012",34,36
230218102,7,2010,2010,37,37
230220101,7,2016,2016,34,34
230220102,7,"2012,2014","2012,2014",34,36
230222103,7,2022,2022,34,34
230224101,7,"2010,2012,2014","2010,2012,2014",33,37
230224102,7,"2014,2016","2014,2016",34,37
230227101,7,2016,2016,34,34
230269101,7,"2010,2012","2010,2012",34,36
230275101,7,"2010,2012","2010,2012",35,37
230305101,7,"2012,2014","2012,2014",34,36
230305102,7,"2010,2012","2010,2012",34,36
230307101,7,"2010,2012","2010,2012",34,36
230330101,7,"2012,2014","2012,2014",34,36
230330102,7,2010,2010,37,37
230343101,7,"2014,2016","2014,2016",34,36
230343102,7,"2010,2012,2014","2010,2012,2014",33,37
230363101,7,"2014,2016","2014,2016",34,36
230375104,7,2010,2010,37,37
230382101,7,"2010,2012","2010,2012",35,37
230382102,7,"2012,2014","2012,2014",34,36
230385101,7,2020,2020,36,36
230385102,7,"2012,2014,2016","2012,2014,2016",33,37
230394102,7,"2010,2012","2010,2012",34,36
230397101,7,"2010,2012","2010,2012",35,37
230402103,7,"2016,2020","2016,2020",33,37
230411103,7,"2020,2022","2020,2022",34,36
230414101,7,2010,2010,36,36
230414102,7,2010,2010,36,36
230422101,7,"2012,2014","2012,2014",34,36
230422104,7,2020,2020,36,36
230426103,7,"2016,2020","2016,2020",33,37
230427103,7,"2020,2022","2020,2022",34,36
